CrimeID,Crime_Type,Crime_Description
7,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
1,Burglary,Burglary
2,Homicide,Homicide
3,Rape,Rape
4,Robbery,Robbery
5,Assault,Assault
6,Larceny-Theft,Larceny-Theft
7,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
1,Burglary,Burglary
2,Homicide,Homicide
3,Rape,Rape
4,Robbery,Robbery
5,Assault,Assault
6,Larceny-Theft,Larceny-Theft
7,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
1,Burglary,Burglary
2,Homicide,Homicide
3,Rape,Rape
4,Robbery,Robbery
5,Assault,Assault
6,Larceny-Theft,Larceny-Theft
7,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
1,Burglary,Burglary
2,Homicide,Homicide
3,Rape,Rape
4,Robbery,Robbery
5,Assault,Assault
6,Larceny-Theft,Larceny-Theft
7,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
1,Burglary,Burglary
2,Homicide,Homicide
3,Rape,Rape
4,Robbery,Robbery
5,Assault,Assault
6,Larceny-Theft,Larceny-Theft
7,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
1,Burglary,Burglary
2,Homicide,Homicide
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
7,Burglary,Burglary
1,Homicide,Homicide
2,Rape,Rape
3,Robbery,Robbery
4,Assault,Assault
5,Larceny-Theft,Larceny-Theft
6,Rape,Rape
7,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle."
1,Burglary,Burglary
2,Homicide,Homicide
3,Rape,Rape
4,Robbery,Robbery
5,Assault,Assault
